nodes,ave_mcmc,risk_mcmc_mean,credible_interval_mcmc,risk_mcmc_hpd,ave_hmc,risk_hmc_mean,credible_interval_hmc,risk_hmc_hpd,total_risk
4766,0.9616235971132273,1.0,[0.78480717 0.99999848],2.0,0.9914500324083683,1.0,[0.90833983 1.        ],1.0,2.0
4777,0.9284789561186626,1.0,[0.84196474 0.99999861],2.0,0.9868287795452563,1.0,[0.94077471 1.        ],1.0,2.0
4809,0.6584771278927599,2.0,[0.80047465 0.99995256],2.0,0.862491328540813,1.0,[0.92537303 1.        ],1.0,2.0
4826,0.8710616896261946,1.0,[0.93679644 0.99998219],1.0,0.9844739926488512,1.0,[0.97186093 1.        ],1.0,1.0
4837,0.9830260258324335,1.0,[0.26044007 0.99998838],3.0,0.9963441533035573,1.0,[0.38202122 1.        ],3.0,2.0
4844,0.9141002852153801,1.0,[0.83107637 0.99999684],2.0,0.9823156577606406,1.0,[0.93841226 1.        ],1.0,2.0
4901,0.9714902035870512,1.0,[0.84835998 0.9999077 ],2.0,0.9943765117398174,1.0,[0.94690241 1.        ],1.0,2.0
5392,0.8205943303931232,2.0,[0.9606783  0.99998624],1.0,0.951063560801232,1.0,[0.98666938 1.        ],1.0,1.0
5394,0.66531748352573,2.0,[0.97811547 0.99999802],1.0,0.8622471188942732,1.0,[0.9928409 1.       ],1.0,1.0
5396,0.9558504189875785,1.0,[0.57296203 0.94792587],3.0,0.9904082079454941,1.0,[0.57601027 0.96968698],3.0,2.0
5400,0.9039997152519227,1.0,[0.66898918 0.99999736],2.0,0.9782997220176578,1.0,[0.84941472 1.        ],2.0,2.0
5413,0.9319061388994134,1.0,[0.91714095 0.99997596],1.0,0.9860030105652293,1.0,[0.97013349 1.        ],1.0,1.0
5483,0.9867785935028816,1.0,[0.24419437 0.99908981],3.0,0.9974071555595428,1.0,[0.35808192 1.        ],3.0,2.0
5511,0.9909476420947947,1.0,[0.84535426 0.99989839],2.0,0.9983150942475117,1.0,[0.93872652 1.        ],1.0,2.0
5539,0.9821545092112708,1.0,[0.99728554 0.99999963],1.0,0.9967412044308841,1.0,[0.99952067 1.        ],1.0,1.0
5602,0.9878821935781958,1.0,[0.62280723 0.93204307],2.0,0.9974664124502753,1.0,[0.64044909 0.94127578],2.0,2.0
5603,0.9420470756780716,1.0,[0.3921809  0.99920801],3.0,0.9876981547564548,1.0,[0.63982823 1.        ],2.0,2.0
5617,0.9785897129501216,1.0,[0.24604667 0.99931767],3.0,0.9954296793862205,1.0,[0.36128877 1.        ],3.0,2.0
5645,0.9459706499541971,1.0,[0.87112632 0.99981067],1.0,0.9884858569926496,1.0,[0.94588426 1.        ],1.0,1.0
5650,0.9689452066078207,1.0,[0.90561488 0.99998937],1.0,0.9939458118863856,1.0,[0.96639193 1.        ],1.0,1.0
5769,0.9615626622229378,1.0,[0.84113578 0.99996895],2.0,0.991537502060935,1.0,[0.92920047 1.        ],1.0,2.0
6057,0.9638159427309785,1.0,[0.57276193 0.99998766],3.0,0.9928170127331092,1.0,[0.79614867 1.        ],2.0,2.0
6079,0.9617942352417856,1.0,[0.92411396 0.99999084],1.0,0.9917260092681977,1.0,[0.97638919 1.        ],1.0,1.0
