peer|prefix|path|rfd|mis_rec_ratio|path-with-links|path-with-agg-links
187.16.222.221|45.132.190.0/24|('263009', '6762', '2914', '31027', '44869', '58360')|False|0.014367816091954023|(('263009', '6762'), ('6762', '2914'), ('2914', '31027'), ('31027', '44869'), ('44869', '58360'))|('263009c2p', '6762p2p', '2914p2c', '31027p2c', '44869p2c')
187.16.222.6|147.28.50.0/24|('263075', '22548', '58364')|False|0.0|(('263075', '22548'), ('22548', '58364'))|('263075p2p', '22548p2c')
187.16.222.66|147.28.50.0/24|('263651', '16735', '22548', '58364')|False|0.08764367816091954|(('263651', '16735'), ('16735', '22548'), ('22548', '58364'))|('263651p2p', '16735p2c', '22548p2c')
187.16.222.66|147.28.50.0/24|('263651', '22548', '58364')|False|0.0|(('263651', '22548'), ('22548', '58364'))|('263651p2p', '22548p2c')
187.16.223.117|147.28.34.0/24|('262757', '3549', '3356', '2497', '58361')|False|0.0014367816091954023|(('262757', '3549'), ('3549', '3356'), ('3356', '2497'), ('2497', '58361'))|('262757c2p', '3549c2p', '3356p2c', '2497p2c')
187.16.223.117|147.28.38.0/24|('262757', '3549', '3356', '2914', '3130')|False|0.01293103448275862|(('262757', '3549'), ('3549', '3356'), ('3356', '2914'), ('2914', '3130'))|('262757c2p', '3549c2p', '3356p2p', '2914p2c')
187.16.223.117|147.28.42.0/24|('262757', '3549', '3356', '2914', '63528', '58362')|False|0.0028735632183908046|(('262757', '3549'), ('3549', '3356'), ('3356', '2914'), ('2914', '63528'), ('63528', '58362'))|('262757c2p', '3549c2p', '3356p2p', '2914p2c', '63528p2c')
187.16.223.117|147.28.46.0/24|('262757', '3549', '3356', '37100', '58363')|False|0.25862068965517243|(('262757', '3549'), ('3549', '3356'), ('3356', '37100'), ('37100', '58363'))|('262757c2p', '3549c2p', '3356p2c', '37100p2c')
187.16.223.117|147.28.50.0/24|('262757', '22548', '58364')|False|0.0014367816091954023|(('262757', '22548'), ('22548', '58364'))|('262757p2p', '22548p2c')
187.16.223.117|147.28.54.0/24|('262757', '4230', '33891', '5539', '58365')|False|0.014367816091954023|(('262757', '4230'), ('4230', '33891'), ('33891', '5539'), ('5539', '58365'))|('262757c2p', '4230p2p', '33891p2c', '5539p2c')
187.16.223.117|45.132.190.0/24|('262757', '4230', '6453', '1299', '31027', '44869', '58360')|False|0.4367816091954023|(('262757', '4230'), ('4230', '6453'), ('6453', '1299'), ('1299', '31027'), ('31027', '44869'), ('44869', '58360'))|('262757c2p', '4230c2p', '6453p2p', '1299p2c', '31027p2c', '44869p2c')
187.16.223.133|147.28.34.0/24|('28186', '3356', '2497', '58361')|False|0.14511494252873564|(('28186', '3356'), ('3356', '2497'), ('2497', '58361'))|('28186c2p', '3356p2c', '2497p2c')
187.16.223.133|147.28.34.0/24|('28186', '3549', '3356', '2497', '58361')|False|0.08045977011494253|(('28186', '3549'), ('3549', '3356'), ('3356', '2497'), ('2497', '58361'))|('28186p2p', '3549c2p', '3356p2c', '2497p2c')
187.16.223.133|147.28.34.0/24|('28186', '7738', '2497', '58361')|False|0.0|(('28186', '7738'), ('7738', '2497'), ('2497', '58361'))|('28186c2p', '7738p2p', '2497p2c')
